database,table,name,type,mode
hi,education_expenditure_supplementary_data,country,STRING,NULLABLE
hi,education_expenditure_supplementary_data,institute_type,STRING,NULLABLE
hi,education_expenditure_supplementary_data,direct_expenditure_type,STRING,NULLABLE
hi,education_expenditure_supplementary_data,2000,FLOAT,NULLABLE
hi,education_expenditure_supplementary_data,2005,FLOAT,NULLABLE
hi,education_expenditure_supplementary_data,2009,FLOAT,NULLABLE
hi,education_expenditure_supplementary_data,2010,FLOAT,NULLABLE
hi,education_expenditure_supplementary_data,2011,FLOAT,REPEATED
hi,shanghaidata,world_rank,INTEGER,NULLABLE
hi,shanghaidata,university_name,STRING,NULLABLE
hi,shanghaidata,national_rank,INTEGER,NULLABLE
hi,shanghaidata,total_score,FLOAT,NULLABLE
hi,shanghaidata,alumni,FLOAT,NULLABLE
hi,shanghaidata,award,FLOAT,NULLABLE
hi,shanghaidata,hici,FLOAT,NULLABLE
hi,shanghaidata,ns,FLOAT,NULLABLE
hi,shanghaidata,pub,FLOAT,NULLABLE
hi,shanghaidata,pcp,FLOAT,NULLABLE
hi,shanghaidata,year,INTEGER,NULLABLE
