database,table,name,type,mode
northwind,categories,categoryid,INTEGER,NULLABLE
northwind,categories,categoryname,STRING,NULLABLE
northwind,categories,description,STRING,NULLABLE
northwind,categories,picture,STRING,NULLABLE
northwind,customers,customerid,STRING,NULLABLE
northwind,customers,companyname,STRING,NULLABLE
northwind,customers,contactname,STRING,NULLABLE
northwind,customers,contacttitle,STRING,NULLABLE
northwind,customers,address,STRING,NULLABLE
northwind,customers,city,STRING,NULLABLE
northwind,customers,region,STRING,NULLABLE
northwind,customers,postalcode,STRING,NULLABLE
northwind,customers,country,STRING,NULLABLE
northwind,customers,phone,STRING,NULLABLE
northwind,customers,fax,STRING,NULLABLE
northwind,employeeterritories,employeeid,INTEGER,NULLABLE
northwind,employeeterritories,territoryid,STRING,NULLABLE
