database,table,name,type,mode
pagila,actor,actor_id,INTEGER,NULLABLE
pagila,actor,first_name,STRING,NULLABLE
pagila,actor,last_name,STRING,NULLABLE
pagila,actor,last_update,DATETIME,NULLABLE
pagila,category,category_id,INTEGER,NULLABLE
pagila,category,name,STRING,NULLABLE
pagila,category,last_update,DATETIME,NULLABLE
pagila,city,city_id,INTEGER,NULLABLE
pagila,city,city,STRING,NULLABLE
pagila,city,country_id,INTEGER,NULLABLE
pagila,city,last_update,DATETIME,NULLABLE
pagila,country,country_id,INTEGER,NULLABLE
pagila,country,country,STRING,NULLABLE
pagila,country,last_update,DATETIME,NULLABLE
pagila,film_actor,actor_id,INTEGER,NULLABLE
pagila,film_actor,film_id,INTEGER,NULLABLE
pagila,film_actor,last_update,DATETIME,NULLABLE
pagila,film_category,film_id,INTEGER,NULLABLE
pagila,film_category,category_id,INTEGER,NULLABLE
pagila,film_category,last_update,DATETIME,NULLABLE
pagila,inventory,language_id,INTEGER,NULLABLE
pagila,inventory,name,STRING,NULLABLE
pagila,inventory,last_update,DATETIME,NULLABLE
pagila,store,store_id,INTEGER,NULLABLE
pagila,store,member_staff_id,INTEGER,NULLABLE
pagila,store,address_id,INTEGER,NULLABLE
pagila,store,last_update,DATETIME,NULLABLE
