database,table,name,type,mode
sandy,aug_test,enrollee_id,INTEGER,NULLABLE
sandy,aug_test,city,STRING,NULLABLE
sandy,aug_test,ecity_development_index,FLOAT,NULLABLE
sandy,aug_test,gender,STRING,NULLABLE
sandy,aug_test,relevent_experience,STRING,NULLABLE
sandy,aug_test,enrolled_university,STRING,NULLABLE
sandy,aug_test,education_level,STRING,NULLABLE
sandy,aug_test,major_discipline,STRING,NULLABLE
sandy,aug_test,experience,STRING,NULLABLE
sandy,aug_test,company_size,STRING,NULLABLE
sandy,aug_test,company_type,STRING,NULLABLE
sandy,aug_test,last_new_job,STRING,NULLABLE
sandy,aug_test,training_hours,INTEGER,NULLABLE
sandy,aug_train,enrollee_id,INTEGER,NULLABLE
sandy,aug_train,city,STRING,NULLABLE
sandy,aug_train,ecity_development_index,FLOAT,NULLABLE
sandy,aug_train,gender,STRING,NULLABLE
sandy,aug_train,relevent_experience,STRING,NULLABLE
sandy,aug_train,enrolled_university,STRING,NULLABLE
sandy,aug_train,education_level,STRING,NULLABLE
sandy,aug_train,major_discipline,STRING,NULLABLE
sandy,aug_train,experience,STRING,NULLABLE
sandy,aug_train,company_size,STRING,NULLABLE
sandy,aug_train,company_type,STRING,NULLABLE
sandy,aug_train,last_new_job,STRING,NULLABLE
sandy,aug_train,training_hours,INTEGER,NULLABLE
sandy,aug_train,target,FLOAT,NULLABLE
sandy,sample_submission,enrollee_id,INTEGER,NULLABLE
sandy,sample_submission,target,FLOAT,NULLABLE
