database,table,name,type,mode
testdb,aug_test,enrollee_id,STRING,NULLABLE
testdb,aug_test,city,STRING,NULLABLE
testdb,aug_test,city_development_index,STRING,NULLABLE
testdb,aug_test,gender,STRING,NULLABLE
testdb,aug_test,relevent_experience,STRING,NULLABLE
testdb,aug_test,enrolled_university,STRING,NULLABLE
testdb,aug_test,education_level,STRING,NULLABLE
testdb,aug_test,major_discipline,STRING,NULLABLE
testdb,aug_test,experience,STRING,NULLABLE
testdb,aug_test,company_size,STRING,NULLABLE
testdb,aug_test,company_type,STRING,NULLABLE
testdb,aug_test,last_new_job,STRING,NULLABLE
testdb,aug_test,training_hours,STRING,NULLABLE
testdb,aug_train,enrollee_id,STRING,NULLABLE
testdb,aug_train,city,STRING,NULLABLE
testdb,aug_train,city_development_index,STRING,NULLABLE
testdb,aug_train,gender,STRING,NULLABLE
testdb,aug_train,relevent_experience,STRING,NULLABLE
testdb,aug_train,enrolled_university,STRING,NULLABLE
testdb,aug_train,education_level,STRING,NULLABLE
testdb,aug_train,major_discipline,STRING,NULLABLE
testdb,aug_train,experience,STRING,NULLABLE
testdb,aug_train,company_size,STRING,NULLABLE
testdb,aug_train,company_type,STRING,NULLABLE
testdb,aug_train,last_new_job,STRING,NULLABLE
testdb,aug_train,training_hours,STRING,NULLABLE
testdb,aug_train,target,STRING,NULLABLE
