database,table,name,type,mode
testdb1,aug_test,enrollee_id,STRING,NULLABLE
testdb1,aug_test,city,STRING,NULLABLE
testdb1,aug_test,gender,STRING,NULLABLE
testdb1,aug_test,relevent_experience,STRING,NULLABLE
testdb1,aug_test,enrolled_university,STRING,NULLABLE
testdb1,aug_test,education_level,STRING,NULLABLE
testdb1,aug_test,major_discipline,STRING,NULLABLE
testdb1,aug_test,experience,STRING,NULLABLE
testdb1,aug_test,company_size,STRING,NULLABLE
testdb1,aug_test,company_type,STRING,NULLABLE
testdb1,aug_test,last_new_job,STRING,NULLABLE
testdb1,aug_test,training_hours,STRING,NULLABLE
testdb1,aug_train,city,STRING,NULLABLE
testdb1,aug_train,city_development_index,STRING,NULLABLE
testdb1,aug_train,gender,STRING,NULLABLE
testdb1,aug_train,relevent_experience,STRING,NULLABLE
testdb1,aug_train,enrolled_university,STRING,NULLABLE
testdb1,aug_train,education_level,STRING,NULLABLE
testdb1,aug_train,major_discipline,STRING,NULLABLE
testdb1,aug_train,experience,STRING,NULLABLE
testdb1,aug_train,company_size,STRING,NULLABLE
testdb1,aug_train,company_type,STRING,NULLABLE
testdb1,aug_train,last_new_job,STRING,NULLABLE
testdb1,aug_train,training_hours,STRING,NULLABLE
testdb1,aug_train,target,STRING,NULLABLE
